Order,Up,Down,Left,Right
10,7.56,11.58,11.32,14.62
9,7.62,11.48,11.41,14.54
8,7.71,11.38,11.51,14.45
7,7.8,11.28,11.6,14.35
6,7.9,11.19,11.68,14.23
5,8.02,11.09,11.79,14.13
4,8.12,10.98,11.93,14.02
3,8.25,10.85,12.05,13.88
2,8.37,10.7,12.18,13.72
1,8.53,10.56,12.36,13.54
