Florets,White-top,Purple-top,White-side,Purple-side
X,N,N,N,N
0,182,147,188,146
1,84,91,45,65
2,75,87,56,61
3,70,78,54,53
4,74,96,77,71
5,79,55,55,60
6,59,79,49,44
7,84,80,45,43
8,93,94,64,70
9,72,82,38,34
10,61,70,31,35
11,56,62,36,38
12,67,72,47,60
13,65,55,34,35
14,33,40,29,25
15,30,25,26,16
16,11,23,16,14
17,5,14,6,7
18,7,11,5,10
19,5,6,1,2
20,0,3,1,1
21,2,1,0,0
22,0,0,0,0
23,1,0,2,0
24,0,0,0,1
25,1,0,0,0
